Date,Close,Predictions
2011-12-14,1211.8199462890625,1221.8949
2011-12-15,1215.75,1207.6608
2011-12-16,1219.6600341796875,1212.3457
2011-12-19,1205.3499755859375,1215.5212
2011-12-20,1241.300048828125,1201.686
2011-12-21,1243.719970703125,1234.2686
2011-12-22,1254.0,1237.5419
2011-12-23,1265.3299560546875,1246.7388
2011-12-27,1265.4300537109375,1256.6058
2011-12-28,1249.6400146484375,1258.4714
2011-12-29,1263.02001953125,1243.7249
2011-12-30,1257.5999755859375,1256.273
2012-01-03,1277.06005859375,1252.2698
2012-01-04,1277.300048828125,1270.0579
2012-01-05,1281.06005859375,1269.9891
2012-01-06,1277.81005859375,1273.812
2012-01-09,1280.699951171875,1270.5897
2012-01-10,1292.0799560546875,1274.0225
2012-01-11,1292.47998046875,1284.659
2012-01-12,1295.5,1285.4088
2012-01-13,1289.0899658203125,1287.8955
2012-01-17,1293.6700439453125,1282.1453
2012-01-18,1308.0400390625,1286.692
2012-01-19,1314.5,1300.1571
2012-01-20,1315.3800048828125,1306.5106
2012-01-23,1316.0,1306.9941
2012-01-24,1314.6500244140625,1307.6964
2012-01-25,1326.06005859375,1307.0769
2012-01-26,1318.4300537109375,1317.802
2012-01-27,1316.3299560546875,1311.1321
2012-01-30,1313.010009765625,1308.8914
2012-01-31,1312.4100341796875,1305.8033
2012-02-01,1324.0899658203125,1305.6868
2012-02-02,1325.5400390625,1316.1428
2012-02-03,1344.9000244140625,1317.6881
2012-02-06,1344.3299560546875,1335.1714
2012-02-07,1347.050048828125,1335.1179
2012-02-08,1349.9599609375,1337.8685
2012-02-09,1351.949951171875,1340.6823
2012-02-10,1342.6400146484375,1343.3611
2012-02-13,1351.77001953125,1334.8464
2012-02-14,1350.5,1343.0228
2012-02-15,1343.22998046875,1342.3483
2012-02-16,1358.0400390625,1335.633
2012-02-17,1361.22998046875,1348.6017
2012-02-21,1362.2099609375,1352.3961
2012-02-22,1357.6600341796875,1353.157
2012-02-23,1363.4599609375,1348.7228
2012-02-24,1365.739990234375,1354.4741
2012-02-27,1367.5899658203125,1356.9052
2012-02-28,1372.1800537109375,1358.6313
2012-02-29,1365.6800537109375,1362.6675
2012-03-01,1374.0899658203125,1357.1061
2012-03-02,1369.6300048828125,1364.6112
2012-03-05,1364.3299560546875,1360.9574
2012-03-06,1343.3599853515625,1356.0762
2012-03-07,1352.6300048828125,1336.5336
2012-03-08,1365.9100341796875,1344.7694
2012-03-09,1370.8699951171875,1357.2411
2012-03-12,1371.0899658203125,1361.8003
2012-03-13,1395.949951171875,1361.1704
2012-03-14,1394.280029296875,1384.0837
2012-03-15,1402.5999755859375,1383.9097
2012-03-16,1404.1700439453125,1391.3485
2012-03-19,1409.75,1393.1489
2012-03-20,1405.52001953125,1399.1404
2012-03-21,1402.8900146484375,1395.4652
2012-03-22,1392.780029296875,1393.2144
2012-03-23,1397.1099853515625,1384.0728
2012-03-26,1416.510009765625,1387.8677
2012-03-27,1412.52001953125,1405.4781
2012-03-28,1405.5400390625,1402.3745
2012-03-29,1403.280029296875,1395.4071
2012-03-30,1408.469970703125,1393.3708
2012-04-02,1419.0400390625,1398.7609
2012-04-03,1413.3800048828125,1408.3306
2012-04-04,1398.9599609375,1403.2881
2012-04-05,1398.0799560546875,1389.9042
2012-04-09,1382.199951171875,1388.8539
2012-04-10,1358.5899658203125,1374.9036
2012-04-11,1368.7099609375,1352.5996
2012-04-12,1387.5699462890625,1360.6886
2012-04-13,1370.260009765625,1378.3947
2012-04-16,1369.5699462890625,1362.4694
2012-04-17,1390.780029296875,1360.2064
2012-04-18,1385.1400146484375,1380.054
2012-04-19,1376.9200439453125,1376.3318
2012-04-20,1378.530029296875,1367.803
2012-04-23,1366.93994140625,1369.0602
2012-04-24,1371.969970703125,1359.454
2012-04-25,1390.68994140625,1363.4283
2012-04-26,1399.97998046875,1380.3998
2012-04-27,1403.3599853515625,1389.3828
2012-04-30,1397.9100341796875,1392.1155
2012-05-01,1405.8199462890625,1387.4889
2012-05-02,1402.31005859375,1395.1842
2012-05-03,1391.5699462890625,1392.6984
2012-05-04,1369.0999755859375,1382.8926
2012-05-07,1369.5799560546875,1361.9222
2012-05-08,1363.719970703125,1361.9882
2012-05-09,1354.5799560546875,1356.7478
2012-05-10,1357.989990234375,1347.7858
2012-05-11,1353.3900146484375,1349.8181
2012-05-14,1338.3499755859375,1345.8326
2012-05-15,1330.6600341796875,1331.6499
2012-05-16,1324.800048828125,1323.837
2012-05-17,1304.8599853515625,1318.5447
2012-05-18,1295.219970703125,1299.9324
2012-05-21,1315.989990234375,1289.9786
2012-05-22,1316.6300048828125,1308.878
2012-05-23,1318.8599853515625,1309.8956
2012-05-24,1320.6800537109375,1310.8314
2012-05-25,1317.8199462890625,1312.1196
2012-05-29,1332.4200439453125,1310.4066
2012-05-30,1313.3199462890625,1323.747
2012-05-31,1310.3299560546875,1306.698
2012-06-01,1278.0400390625,1303.352
2012-06-04,1278.1800537109375,1273.4955
2012-06-05,1285.5,1273.525
2012-06-06,1315.1300048828125,1280.0039
2012-06-07,1314.989990234375,1307.4772
2012-06-08,1325.6600341796875,1306.457
2012-06-11,1308.9300537109375,1315.867
2012-06-12,1324.1800537109375,1301.0736
2012-06-13,1314.8800048828125,1315.8345
2012-06-14,1329.0999755859375,1307.8618
2012-06-15,1342.8399658203125,1320.9696
2012-06-18,1344.780029296875,1333.3191
2012-06-19,1357.97998046875,1335.9294
2012-06-20,1355.68994140625,1347.4895
2012-06-21,1325.510009765625,1346.3701
2012-06-22,1335.02001953125,1319.0958
2012-06-25,1313.719970703125,1327.0513
2012-06-26,1319.989990234375,1308.6067
2012-06-27,1331.8499755859375,1313.6439
2012-06-28,1329.0400390625,1323.733
2012-06-29,1362.1600341796875,1321.7915
2012-07-02,1365.510009765625,1350.945
2012-07-03,1374.02001953125,1355.2076
2012-07-05,1367.5799560546875,1363.1782
2012-07-06,1354.6800537109375,1357.4935
2012-07-09,1352.4599609375,1346.809
